trial,ARI_dagger_values,eps,min_samples
0,0.034285714285714274,44.31289462541109,23
1,0.034285714285714274,45.99532687620385,30
2,0.034285714285714274,49.97329285192497,6
3,0.034285714285714274,32.314464531835,17
4,0.034285714285714274,25.75069033447329,7
5,0.034285714285714274,46.04916305755141,9
6,0.034285714285714274,38.766787613006514,10
7,0.034285714285714274,36.17576520073975,18
8,0.034285714285714274,35.05000155598957,14
9,0.034285714285714274,30.832355979822072,11
10,0.034285714285714274,21.73957825887034,24
11,0.034285714285714274,42.62648894616413,30
12,0.034285714285714274,42.01024309902365,30
13,0.034285714285714274,49.12936082774514,24
14,0.034285714285714274,44.42631478961269,25
15,0.034285714285714274,40.11764479508649,27
16,0.034285714285714274,46.257506753128006,20
17,0.034285714285714274,38.794363201636884,22
18,0.034285714285714274,47.12967332836711,27
19,0.034285714285714274,42.52949783397958,27
20,0.034285714285714274,31.06283004531959,20
21,0.034285714285714274,49.92407974996585,6
22,0.034285714285714274,48.68740271013172,14
23,0.034285714285714274,44.59115126832919,15
24,0.034285714285714274,47.331937154313756,22
25,0.034285714285714274,43.748249956285406,5
26,0.034285714285714274,49.96823962995437,12
27,0.034285714285714274,40.15391738731658,28
28,0.034285714285714274,45.69990978176922,18
29,0.034285714285714274,47.66896754919847,21
30,0.034285714285714274,27.389835688945006,25
31,0.034285714285714274,31.855711593769918,8
32,0.034285714285714274,26.11219963876049,15
33,0.034285714285714274,31.978349677391723,17
34,0.034285714285714274,36.496730925649544,9
35,0.034285714285714274,33.14248372919518,17
36,0.034285714285714274,28.67234124165266,12
37,0.034285714285714274,37.09474368408719,19
38,0.034285714285714274,22.649129762900763,29
39,0.034285714285714274,34.04197972338783,23
40,0.034285714285714274,30.032298259992736,10
41,0.034285714285714274,25.98429702649317,7
42,0.034285714285714274,21.884981511078333,7
43,0.034285714285714274,25.133134736894306,10
44,0.034285714285714274,20.46484311724085,6
45,0.034285714285714274,41.52631524631684,5
46,0.034285714285714274,45.22927331638432,25
47,0.034285714285714274,23.457278836235496,13
48,0.034285714285714274,35.101384366997536,8
49,0.034285714285714274,48.541559123291634,30
0,0.22196503068914697,0.010438063455948198,2
1,0.7900396825396825,0.04142899089256584,17
2,0.7966984126984129,0.04958123650308822,19
3,0.682069264069264,0.05963689447322672,11
4,0.2593442584247537,0.06738416721841917,7
5,0.13617060717060717,0.07375107858502321,5
6,0.7657301587301588,0.05149740909144413,14
7,0.5356270396270397,0.03840738106262953,6
8,0.6895598845598847,0.036200982179392556,7
9,0.6529374514374515,0.021112604005510714,5
10,0.34570707070707063,0.0987918651721852,20
11,0.8148650793650795,0.04200198400157463,20
12,0.7886587301587303,0.02668867088624625,20
13,0.5300909090909092,0.08515512501796463,17
14,0.7746666666666667,0.049778220330517986,16
15,0.7306031746031748,0.061321569219347755,13
16,0.7897142857142859,0.027599575559564674,20
17,0.7718968253968254,0.04651151234185776,15
18,0.41341835941835947,0.07598785607447758,11
19,0.7135079365079366,0.013373138685650265,18
20,0.7866688311688311,0.03168967479605802,18
21,0.7930952380952383,0.042529896197532426,18
22,0.8017698412698414,0.04412747822190914,19
23,0.7674126984126984,0.05521602213544308,13
24,0.7686111111111111,0.05933511617613152,19
25,0.7693968253968254,0.04693279632158872,15
26,0.7087556332556333,0.021072215741243572,9
27,0.7208650793650794,0.06716711693026432,16
28,0.7997777777777777,0.034015306457572655,19
29,0.08490571565326356,0.03475635176121177,2
30,0.75068253968254,0.015917624575036902,19
31,0.8054761904761905,0.042881355669361146,19
32,0.7913275613275613,0.032382914129743486,17
33,0.8148650793650795,0.04199401336258155,20
34,0.8103412698412699,0.042801089997627384,20
35,0.8177222222222222,0.04137347978855531,20
36,0.7972619047619048,0.05475009815124697,20
37,0.7938463203463203,0.03845222073284201,17
38,0.7745000000000001,0.0250326200274506,18
39,0.7766904761904762,0.05299776073388152,16
40,0.8202222222222221,0.039413368889785215,20
41,0.8177222222222221,0.03906462199005359,20
42,0.790746031746032,0.02887126963799614,20
43,0.7991240981240982,0.03968335128562146,18
44,0.805309523809524,0.04910923206316398,20
45,0.728984126984127,0.03817528747109616,9
46,0.7855079365079366,0.04621360136845118,17
47,0.7768174603174605,0.023678197617701718,19
48,0.7880238095238099,0.03082543009854621,20
49,0.7861839826839827,0.03565425728071499,15
0,0.622857142857143,0.056997025338268906,43
1,0.8006717171717171,0.03836231305645794,18
2,0.6896428571428572,0.0722044119566268,39
3,0.6000000000000001,0.048852595192908445,42
4,0.56,0.06498444084986287,50
5,0.7726190476190475,0.054826620481948765,29
6,0.5827380952380953,0.08871189702688957,42
7,0.6482142857142859,0.049289146322976415,40
8,0.7139285714285716,0.07616807298754909,36
9,0.774047619047619,0.03183787498037356,26
10,0.7247106782106785,0.011448803816597478,15
11,0.7861587301587304,0.02686731038488416,20
12,0.7836103896103895,0.029147154302835047,17
13,0.802920634920635,0.03058738137232867,22
14,0.8018015873015873,0.03852869346097482,23
15,0.6741428571428573,0.014496559273423033,23
16,0.7669047619047619,0.041380703544049,30
17,0.7456746031746032,0.02005180455103218,24
18,0.6964285714285716,0.039637185401380164,34
19,0.7883333333333333,0.024145028856019705,22
20,0.7760714285714286,0.03660954520096568,27
21,0.8022142857142859,0.04509434207594571,19
22,0.8120079365079366,0.045656384763870246,20
23,0.7728333333333333,0.050509335621704975,15
24,0.7688095238095239,0.061088299048984475,20
25,0.7988015873015876,0.04693269282483125,19
26,0.6071428571428573,0.02053016515109716,31
27,0.4695238095238094,0.09446217443626642,25
28,0.818404761904762,0.046549403301695255,21
29,0.7894047619047619,0.05889361483195477,21
30,0.7439285714285715,0.03237544892859445,28
31,0.7874523809523811,0.04431013978838403,17
32,0.7774126984126986,0.05366600115701991,17
33,0.770515873015873,0.0652677626363073,21
34,0.795608225108225,0.033263124763896784,18
35,0.5199999999999999,0.044587361824548685,47
36,0.7978571428571429,0.05382700462610392,25
37,0.6721587301587303,0.07193002959930753,15
38,0.8031984126984126,0.03586276000298541,19
39,0.7139285714285717,0.03547903395120262,32
40,0.7721825396825398,0.02238374562999044,22
41,0.8083333333333332,0.042006179836500304,19
42,0.8083333333333332,0.041190115171627385,19
43,0.7975396825396825,0.041621677119694535,18
44,0.7782857142857144,0.04879349775002636,16
45,0.801063492063492,0.05316475679581915,20
46,0.5775000000000002,0.026818618547005516,38
47,0.7736904761904762,0.035770259442841075,26
48,0.7898412698412699,0.06513069242078993,24
49,0.8111904761904762,0.0405869013174104,19
0,0.29015276390276395,0.08866631437243809,26
0,0.3609032630596098,0.08052383433540039,12
1,0.4798945612951334,0.0526349650175074,6
2,0.4461722424342831,0.06161431689761937,6
3,0.3644201631701631,0.07570152153811954,24
4,0.32901173826173824,0.08248097597603214,25
5,0.41193956043956037,0.03752011548323779,25
6,0.4314686147186147,0.04303026525862239,19
7,0.2882910422910423,0.08745666457210546,18
8,0.4126221032896899,0.07502137732999961,9
9,0.5301949161949164,0.022896644885309157,5
10,0.5191457005326976,0.02090946846965986,12
11,0.47886919126625016,0.010075569908273173,13
12,0.545774321911319,0.01584553407518745,10
13,0.5109471035500449,0.026847697151207904,9
14,0.5581035102668231,0.01089687161008174,9
15,0.5569336397176956,0.012925667946582276,9
16,0.45136465005582643,0.035573676238452756,17
17,0.07719047619047627,0.09644857685116814,8
18,0.47673161315808366,0.011097659719660837,14
19,0.47247976533270647,0.02862868525004123,16
20,0.440983051262463,0.05009655130231599,11
21,0.5413163925857426,0.016484772281550774,10
22,0.5482606248240925,0.01628841215313672,7
23,0.5057190848367321,0.030303042443992338,7
24,0.4779022565169084,0.06275055593491301,8
25,0.5474321211983753,0.018797788294844728,5
26,0.3259523809523811,0.010985931227971405,21
27,0.4886649657532013,0.03431131246885836,7
28,0.4460897093102975,0.04203375745741571,15
29,0.5046451079879875,0.024920114054771368,12
30,0.5283416173609674,0.017908792599118525,11
31,0.5492229708715779,0.017319586349831547,5
32,0.5666488640358611,0.014866834677760302,7
33,0.6173843129694526,0.010158541263502532,5
34,0.6090454322938846,0.010652534907249187,6
35,0.5329994321983488,0.022296199740263107,6
36,0.5057783393077514,0.03072631331333088,6
37,0.4791681133623856,0.06319432887588208,8
38,0.5217736547078655,0.024667469185524024,5
39,0.49608215391419724,0.04689739616171286,7
40,0.43201377054318224,0.05603519191025602,10
41,0.5521717349557909,0.013072286440865718,9
42,0.5734987706651796,0.012918084929118162,6
43,0.5345351464840631,0.021373600874176203,6
44,0.569691695387516,0.014043458820218784,5
45,0.5619175834485433,0.01564792550401207,5
46,0.3260130371752058,0.07196418287229041,6
47,0.5277277235148754,0.021540382678171474,7
48,0.5116001808648869,0.02756018366152283,6
49,0.4279837662337662,0.040381069470387304,20
0,0.5494238586490912,0.019162184650460237,6
1,0.3684469624343036,0.049348609759377035,4
2,0.20201983569122411,0.04516320426338047,2
3,0.5603261944453898,0.019002754680963133,4
4,0.5602578127067293,0.023125878483325764,4
5,0.16331692621808,0.03040774004224667,2
6,0.5906979010243584,0.01702091748817448,3
7,0.6070652593021018,0.00946208467220881,6
8,0.5116001808648869,0.027614367942123665,6
9,0.36268870137793,0.0447212444564997,4
10,0.6549739775188692,0.005213398024850421,5
11,0.6562268444078917,0.005433025944403965,5
12,0.660389444248039,0.006189372963387079,5
13,0.5913019539799728,0.01132693687592939,5
14,0.6493452939389474,0.005101020862579237,5
15,0.5224145838681444,0.03239186110816709,5
16,0.6055169423986225,0.01363234788244079,3
17,0.5316443693904995,0.03401797129249985,5
18,0.640151172614795,0.009166365068316607,3
19,0.5073056415548678,0.03794480838268606,6
20,0.5300996780996783,0.02303909201329872,5
21,0.6562268444078917,0.005435848333520833,5
22,0.5688992117273852,0.014130528670135124,5
23,0.6435009667834747,0.007438276821157327,4
24,0.56786507103148,0.013116165112594485,6
25,0.633259949417777,0.007811291759053753,5
26,0.5614039784604803,0.015600018228712573,4
27,0.6007074908235902,0.010704033186412566,5
28,0.5342494321983488,0.022217707418974587,6
29,0.6194392959981199,0.005167072233696625,6
30,0.5474321211983753,0.018834509246313337,5
31,0.6575265041116435,0.005305502619823708,5
32,0.6280282427000021,0.00769146918031915,5
33,0.6024843679712102,0.01162777148592634,4
34,0.6314509926366841,0.007479889066464545,5
35,0.6703978191832547,0.0050784369214336945,4
36,0.6093058845179591,0.010982425045051872,4
37,0.5592842305613207,0.016397513012447483,4
38,0.6380343364066277,0.008972445873113202,3
39,0.5550323480269302,0.0209620339624543,4
40,0.34594795752215085,0.012656869389336481,2
41,0.6659108117694066,0.006172455860388722,5
42,0.6480484425126036,0.006854035230475309,4
43,0.6137741714769581,0.00960726032189135,6
44,0.5208993590688639,0.026788219612799438,5
45,0.6466777240497796,0.006921330285375355,4
46,0.4420747068876198,0.04675301193810707,5
47,0.5600135842829345,0.01513788835658138,6
48,0.6471099629644521,0.005066864303002836,5
49,0.6226077543887144,0.010016416991156737,4
